participant_id,task,input_type,task_completion_time_in_s
1,A,button_clicked,41.012
1,B,key_pressed,13.48
1,C,button_clicked,28.256
1,D,key_pressed,14.109
2,A,button_clicked,42.432
2,B,key_pressed,12.049
2,C,button_clicked,15.568
2,D,key_pressed,10.547
3,A,button_clicked,32.561
3,B,key_pressed,15.919
3,C,button_clicked,15.183
3,D,key_pressed,7.229
4,A,button_clicked,39.031
4,B,key_pressed,10.078
4,C,button_clicked,19.672
4,D,key_pressed,7.036
5,A,button_clicked,28.544
5,B,key_pressed,13.132
5,C,button_clicked,10.25
5,D,key_pressed,12.392
6,A,button_clicked,28.832
6,B,key_pressed,15.988
6,C,button_clicked,11.239
6,D,key_pressed,10.18
7,A,button_clicked,28.384
7,B,key_pressed,12.256
7,C,button_clicked,11.991
7,D,key_pressed,9.384
8,A,button_clicked,27.528
8,B,key_pressed,11.705
8,C,button_clicked,9.28
8,D,key_pressed,8.696
9,A,button_clicked,37.176
9,B,key_pressed,15.482
9,C,button_clicked,11.471
9,D,key_pressed,9.048
10,A,button_clicked,36.25
10,B,key_pressed,13.656
10,C,button_clicked,10.9
10,D,key_pressed,8.991
11,A,button_clicked,33.088
11,B,key_pressed,14.452
11,C,button_clicked,10.975
11,D,key_pressed,7.482
12,A,button_clicked,32.993
12,B,key_pressed,13.929
12,C,button_clicked,10.808
12,D,key_pressed,6.847
13,A,button_clicked,34.516
13,B,key_pressed,15.507
13,C,button_clicked,12.767
13,D,key_pressed,12.639
14,A,button_clicked,37.711
14,B,key_pressed,13.96
14,C,button_clicked,10.741
14,B,key_pressed,7.752
15,A,button_clicked,31.8
15,B,key_pressed,14.558
15,C,button_clicked,10.934
15,D,key_pressed,6.568
16,A,button_clicked,31.79
16,B,key_pressed,12.761
16,C,button_clicked,10.237
16,D,key_pressed,5.878
